tweet	date
Schools in Hong Kong have been told that they must remove books and teaching materials that could violate the sweeping national security law that was imposed by Beijing last week https://t.co/GoLqGCMQ3p 	2020-07-07
TikTok says it will exit Hong Kong, joining other big tech firms that have expressed wariness about operating in the Asian financial hub after China imposed a controversial national security law there. https://t.co/TiyBJ7Youl 	2020-07-07
Facebook and its messaging service WhatsApp will stop processing requests for user data made by Hong Kong law enforcement authorities while they carry out an assessment of a controversial security law imposed by China on the city. https://t.co/IVXKwVHHgx 	2020-07-06
The first person in Hong Kong to be prosecuted under the city's sweeping new national security law has been denied bail after appearing in court on Monday. https://t.co/wXJ6aQIvBZ 	2020-07-06
A year ago, Chinese-Australian dissident artist Badiucao was looking for a place in Hong Kong to display some of his political works. 	2020-07-03
"Choices I have are stark: to stay silent from now on, or to keep engaging in private diplomacy so I can warn the world of the threat of Chinese authoritarian expansion." 	2020-07-03
The US Senate has approved a final version of legislation that would punish China for moves that lawmakers fear will crush democratic freedoms in Hong Kong. 	2020-07-02
How the national security law is bringing China's authoritarian legal system to Hong Kong | Analysis by @Nectar_Gan https://t.co/bYaYsTSThc https://t.co/guOKvJNV2w 	2020-07-02
If Beijing thought a new national security law would guarantee a quiet birthday for Hong Kong, it was mistaken. 	2020-07-02
"It violates Hong Kong's high degree of autonomy and is in direct conflict with Hong Kong Basic Law." 	2020-07-01
The UK will offer a path to citizenship for eligible Hong Kong residents as it condemned China's new security law. 	2020-07-01
"In general, the business community wants the rule of law and they want a stable business environment." 	2020-07-01
More Republican leaders are publicly pushing for face mask use. People have already been arrested under China's new national security law in Hong Kong. NAFTA is no more. 	2020-07-01
During a protest today, Hong Kong police made the first arrests under a sweeping new national security law, including a man who was holding a black independence flag and a woman with a sign reading "Hong Kong Independence" https://t.co/ULM21ZKZdT 	2020-07-01
Hong Kong police made their first arrest under a controversial new national security law imposed by China's government, as protests broke out in the city. 	2020-07-01
A new national security law imposed on Hong Kong by China's central government dramatically broadens the powers of local and mainland authorities to investigate, prosecute and punish dissenters, with potentially huge ramifications for the city's freedoms. https://t.co/HDZEQEIMAd 	2020-07-01
Hong Kong police say they have arrested a man for carrying an independence flag - the first such arrest under a national security law imposed by China's central government yesterday. The law may have massive ramifications for the city's political freedoms. https://t.co/9hmV3QOZiV 	2020-07-01
China's decision to impose a draconian new security law in Hong Kong marks the culmination of a multi-generational crusade to reassert full control over the former British colony. | Analysis by @StCollinson and @husca https://t.co/bDgZ9ra1k7 	2020-06-30
China passed a sweeping national security law for Hong Kong that has sparked protest, fear and controversy in the semi-autonomous city. 	2020-06-30
China's new Hong Kong national security legislation was written behind closed doors. It will potentially rewrite the city's legal system -- despite the fact the majority of residents have no idea of what precisely it will entail | Analysis by @jgriffiths https://t.co/TbEJKm1zRy 	2020-06-30
